"","Region","District","FacilityName","Type","Town","Ownership","Latitude","Longitude","newColumn + 42","newColumn"
"1119","Central","Agona East","El-Shaddai Maternity Home","Maternity Home","","Government",5.65241,-0.75572,47.65241,47.65241
"1120","Central","Agona East","Jonof Maternity Home","Maternity Home","","Government",5.65241,-0.75572,47.65241,47.65241
"1121","Central","Agona East","Agona District Health Directorate","District Health Directorate","","Government",5.65241,-0.75572,47.65241,47.65241
"1122","Central","Agona East","Mensakrom Clinic","Clinic","Mensakrom","Government",5.65241,-0.75572,47.65241,47.65241
"1123","Central","Agona East","Kenyako CHPS","CHPS","Kenyako","Government",5.65241,-0.75572,47.65241,47.65241
"1124","Central","Agona East","Ofoase CHPS","CHPS","Ofoase","Government",5.65241,-0.75572,47.65241,47.65241
"1125","Central","Agona East","Otwekwa CHPS","CHPS","Otwekwa","Government",5.65241,-0.75572,47.65241,47.65241
"1126","Central","Agona East","Tawora CHPS","CHPS","Tawora","Government",5.65241,-0.75572,47.65241,47.65241
"1127","Central","Agona West Municipal","Nkum Health Centre","Health Centre","Nkum","Government",5.6306,-0.83284,47.6306,47.6306
"1128","Central","Agona West Municipal","Bobikuma Health Centre","Health Centre","Upper Bobikuma","Government",5.55017,-0.85691,47.55017,47.55017
"1129","Central","Agona West Municipal","Nyakrom Health Centre","Health Centre","Agona Nyakrom","Government",5.60867,-0.79676,47.60867,47.60867
"1130","Central","Agona West Municipal","Agona Swedru Govermnt Hospital","District Hospital","Swedru","Government",5.53532,-0.6926,47.53532,47.53532
"1131","Central","Agona West Municipal","Baiden Memoral Clinic","Clinic","Tsimtsimhe","Private",5.52597,-0.70704,47.52597,47.52597
"1132","Central","Agona West Municipal","Abodom Health Centre","Health Centre","Agona Abodom","Government",5.53296,-0.82329,47.53296,47.53296
"1133","Central","Agona West Municipal","Ahmadiyya Muslim Hospital.","Hospital","Swedru","CHAG",5.53852,-0.69956,47.53852,47.53852
"1134","Central","Agona West Municipal","Glaco Maternity Home","Maternity Home","Desuanim","Private",5.53114,-0.69791,47.53114,47.53114
"1135","Central","Agona West Municipal","Agona Municipal Health Directorate","Municipal  Health Directorate","Swedru","Government",5.52313,-0.70139,47.52313,47.52313
"1136","Central","Agona West Municipal","Abigyakwa CHPS","CHPS","Abigyakwa","Government",5.52313,-0.70139,47.52313,47.52313
"1137","Central","Agona West Municipal","Dergewa Maternity Home","Maternity Home","","Government",5.52313,-0.70139,47.52313,47.52313
"1138","Central","Agona West Municipal","Swedru RCH","RCH","Swedru","Government",5.52313,-0.70139,47.52313,47.52313
"1139","Central","Agona West Municipal","Swedru STI Clinic","Clinic","Swedru","Government",5.52313,-0.70139,47.52313,47.52313
"1140","Central","Agona West Municipal","Nsuasa CHPS","CHPS","Nuasa","Government",5.52313,-0.70139,47.52313,47.52313
"1141","Central","Agona West Municipal","Nyamendam CHPS","CHPS","Nyamendam","Government",5.52313,-0.70139,47.52313,47.52313
"1142","Central","Agona West Municipal","Otsenkorang CHPS","CHPS","Otsenkorang","Government",5.71952,-0.82965,47.71952,47.71952
"1143","Central","Ajumako-Enyan-Essiam","Ajumako Hospital","District Hospital","Ajumako","Government",5.4237,-0.95484,47.4237,47.4237
"1144","Central","Ajumako-Enyan-Essiam","Ann's Maternity Home","Maternity Home","Ajumako Entumbil","Private",5.48024,-0.93238,47.48024,47.48024
"1145","Central","Ajumako-Enyan-Essiam","Ajumako-Enyan-Essiam District Health Directorate","District Health Directorate","Ajumako","Government",5.42363,-0.95545,47.42363,47.42363
"1146","Central","Ajumako-Enyan-Essiam","Bisease Health Centre","Health Centre","Ajumako Bisease","Government",5.46482,-0.98895,47.46482,47.46482
"1147","Central","Ajumako-Enyan-Essiam","Enyan Abaasa Health Centre","Health Centre","Enyan Abaasa","Government",5.35401,-0.95244,47.35401,47.35401
"1148","Central","Ajumako-Enyan-Essiam","Kwanyako Community Clinic","Clinic","Kwanyako","Government",5.45035,-0.87345,47.45035,47.45035
"1149","Central","Ajumako-Enyan-Essiam","Sunkwa Community Clinic","Clinic","Etsi Sonkwaa","Government",5.35854,-1.05088,47.35854,47.35854
"1150","Central","Ajumako-Enyan-Essiam","Zion Clinic","Clinic","Zion Denkyira","Private",5.39407,-0.98212,47.39407,47.39407
"1151","Central","Ajumako-Enyan-Essiam","Enyan-Maim Community Clinic","Clinic","Enyan Maim","Government",5.31384,-1.01756,47.31384,47.31384
"1152","Central","Ajumako-Enyan-Essiam","Nkwantanum Health Centre","Health Centre","Nkwantanum","Government",5.41199,-0.97646,47.41199,47.41199
"1153","Central","Ajumako-Enyan-Essiam","Abaasa Health Centre","Health Centre","Abaasa","Government",5.41199,-0.97646,47.41199,47.41199
"1154","Central","Ajumako-Enyan-Essiam","Ajumako RCH","RCH","Abaasa","Government",5.41199,-0.97646,47.41199,47.41199
"1155","Central","Ajumako-Enyan-Essiam","Ahomakormbua CHPS","CHPS","Ahomakormbua","Government",5.41199,-0.97646,47.41199,47.41199
"1156","Central","Ajumako-Enyan-Essiam","Ayinasu CHPS","CHPS","Ayinasu","Government",5.41199,-0.97646,47.41199,47.41199
"1157","Central","Ajumako-Enyan-Essiam","Ekwamase CHPS","CHPS","Ekwamase","Government",5.41199,-0.97646,47.41199,47.41199
"1158","Central","Ajumako-Enyan-Essiam","Kromaim CHPS","CHPS","Kromaim","Government",5.41199,-0.97646,47.41199,47.41199
"1159","Central","Ajumako-Enyan-Essiam","Mando CHPS","CHPS","Mando","Government",5.41199,-0.97646,47.41199,47.41199
"1160","Central","Ajumako-Enyan-Essiam","Obontsir CHPS","CHPS","Obontsir","Government",5.41199,-0.97646,47.41199,47.41199
"1161","Central","Ajumako-Enyan-Essiam","Yeboah CHPS","CHPS","Yeboah","Government",5.41199,-0.97646,47.41199,47.41199
"1162","Central","Asikuma-Odoben-Brakwa","Anhwiam CHPS","CHPS","Anhwiam","Government",5.64501,-1.14176,47.64501,47.64501
"1163","Central","Asikuma-Odoben-Brakwa","Asikuma RCH","RCH","Asikuma","Government",5.5903,-0.99457,47.5903,47.5903
"1164","Central","Asikuma-Odoben-Brakwa","Bedum CHPS","Clinic","Bedum","Government",5.52583,-1.00691,47.52583,47.52583
"1165","Central","Asikuma-Odoben-Brakwa","Asikuma-Odoben-Brakwa District Health Directorate","District Health Directorate","Asikuma","Government",5.57791,-1.00412,47.57791,47.57791
"1166","Central","Asikuma-Odoben-Brakwa","Brakwa Health Centre","Health Centre","Breman Brakwa","Government",5.69912,-0.98457,47.69912,47.69912
"1167","Central","Asikuma-Odoben-Brakwa","Amanfopong CHPS","Clinic","Breman Amanfopong","Government",5.73664,-1.0124,47.73664,47.73664
"1168","Central","Asikuma-Odoben-Brakwa","Ocran Maternity Home","Maternity Home","","Government",5.73664,-1.0124,47.73664,47.73664
"1169","Central","Asikuma-Odoben-Brakwa","Ayipey CHPS","CHPS","Ayipey","Government",5.73664,-1.0124,47.73664,47.73664
"1170","Central","Asikuma-Odoben-Brakwa","Jamra CHPS","CHPS","Jamra","Government",5.73664,-1.0124,47.73664,47.73664
"1171","Central","Asikuma-Odoben-Brakwa","Nankese CHPS","CHPS","Nankese","Government",5.73664,-1.0124,47.73664,47.73664
"1172","Central","Asikuma-Odoben-Brakwa","Sowotuom CHPS","CHPS","Sowotuom","Government",5.73664,-1.0124,47.73664,47.73664
"1173","Central","Assin North Municipal","Bereku Health Centre","Health Centre","Assin Bereku","Government",5.86629,-1.33988,47.86629,47.86629
"1174","Central","Assin North Municipal","Kushea Health Centre","Health Centre","Kushea","Government",5.87468,-1.44857,47.87468,47.87468
"1175","Central","Assin North Municipal","Rex Maternity Home","Maternity Home","Praso","Private",5.92693,-1.35901,47.92693,47.92693
"1176","Central","Assin North Municipal","Ebenezer Clinic & Matenity Home .","Maternity Home","Foso Station","CHAG",5.69698,-1.27703,47.69698,47.69698
"1177","Central","Assin North Municipal","St. Francis Xavier Hospital","District Hospital","Foso","CHAG",5.6996,-1.28136,47.6996,47.6996
"1178","Central","Assin North Municipal","Bediadua Health Centre","Health Centre","Bediadua","Government",5.77557,-1.49475,47.77557,47.77557
"1179","Central","Assin North Municipal","Assin North District Health Directorate","District Health Directorate","Assin Praso","Government",5.69988,-1.27863,47.69988,47.69988
"1180","Central","Assin North Municipal","Assin Praso Health Centre","Health Centre","Assin Praso","CHAG",5.92382,-1.35979,47.92382,47.92382
"1181","Central","Assin North Municipal","Akropong Odumase CHPS","CHPS","Akropong Odumasi","Government",5.92382,-1.35979,47.92382,47.92382
"1182","Central","Assin North Municipal","Awisem CHPS","CHPS","Awisem","Government",5.92382,-1.35979,47.92382,47.92382
"1183","Central","Assin North Municipal","Endwa CHPS","CHPS","Endwa","Government",5.92382,-1.35979,47.92382,47.92382
"1184","Central","Assin South","Assin Manso Health Centre","Health Centre","Manso","Government",5.52409,-1.16766,47.52409,47.52409
"1185","Central","Assin South","Ongwa Health Centre","Health Centre","Assin Ongwa","Government",5.68002,-1.39811,47.68002,47.68002
"1186","Central","Assin South","Assin South District Health Directorate","District Health Directorate","Kyekyewere","Government",5.46162,-1.23531,47.46162,47.46162
"1187","Central","Assin South","Nyankumasi Ahenkro Health Centre","Maternity Home","Nyaokumasi Ahenkro","Government",5.38334,-1.14932,47.38334,47.38334
"1188","Central","Assin South","Nsuta Presby Clinic","Clinic","Nsuta","CHAG",5.62802,-1.23251,47.62802,47.62802
"1189","Central","Assin South","Anyinabrim Health Centre","Health Centre","Anyinabrim","Private",5.60888,-1.23531,47.60888,47.60888
"1190","Central","Assin South","Aboabo CHPS","CHPS","Aboabo","Government",5.60888,-1.23531,47.60888,47.60888
"1191","Central","Assin South","Amoabeng CHPS","CHPS","Amoabeng","Government",5.60888,-1.23531,47.60888,47.60888
"1192","Central","Assin South","Ochiso CHPS","CHPS","Ochiso","Government",5.60888,-1.23531,47.60888,47.60888
"1193","Central","Awutu Senya","Fausty's Maternity Home","Maternity Home","Bawjiase","Private",5.67413,-0.55933,47.67413,47.67413
"1194","Central","Awutu Senya","Bontrase Health Centre","Health Centre","Bontrase","Government",5.60814,-0.55929,47.60814,47.60814
"1195","Central","Awutu Senya","Awutu Health Centre","Health Centre","Awutu Bereku","Government",5.51293,-0.51456,47.51293,47.51293
"1196","Central","Awutu Senya","Humble Home Clinic","Clinic","Awutu-Bereku","Private",5.51331,-0.5118,47.51331,47.51331
"1197","Central","Awutu Senya","Bawjiase Health Centre","Health Centre","Bawjiase","Government",5.68429,-0.55172,47.68429,47.68429
"1198","Central","Awutu Senya","Kasoa Health Centre","Health Centre","Kasoa","Government",5.53382,-0.42641,47.53382,47.53382
"1199","Central","Awutu Senya","Central Kasoa Clinic","Clinic","Kasoa","Private",5.54114,-0.42817,47.54114,47.54114
"1200","Central","Awutu Senya","Senya Bereku Health Centre","Health Centre","Senya Bereku","Government",5.39045,-0.49727,47.39045,47.39045
"1201","Central","Awutu Senya","Chirsty's Maternity Home","Maternity Home","Senya Bereku","Private",5.30355,-0.31051,47.30355,47.30355
"1202","Central","Awutu Senya","Marfred Maternity Home","Maternity Home","","Government",5.30355,-0.31051,47.30355,47.30355
"1203","Central","Awutu Senya","Mighty Crag Marternity Home","Maternity Home","","Government",5.30355,-0.31051,47.30355,47.30355
"1204","Central","Awutu Senya","Wesely Maternity Home","Maternity Home","Kasoa","Government",5.32045,-0.2626,47.32045,47.32045
"1205","Central","Awutu Senya","Thinking Clinic","Clinic","Senya Bereku","Government",5.30437,-0.30544,47.30437,47.30437
"1206","Central","Awutu Senya","Adawukwa CHPS","CHPS","Adawukwa","Government",5.30437,-0.30544,47.30437,47.30437
"1207","Central","Awutu Senya","Ahentia CHPS","CHPS","Ahentia","Government",5.33206,-0.31457,47.33206,47.33206
"1208","Central","Awutu Senya","Akrabon CHPS","CHPS","Akrabon","Government",5.61691,-0.56952,47.61691,47.61691
"1209","Central","Awutu Senya","Mayenda CHPS","CHPS","Mayenda","Government",5.61691,-0.56952,47.61691,47.61691
"1210","Central","Awutu Senya","Ofaakor CHPS","CHPS","Ofaakor","Government",5.61691,-0.56952,47.61691,47.61691
"1211","Central","Awutu Senya","Ofadaa CHPS","CHPS","Ofadaa","Government",5.61691,-0.56952,47.61691,47.61691
"1212","Central","Awutu Senya","Okwampa CHPS","CHPS","Okwampa","Government",5.61691,-0.56952,47.61691,47.61691
"1213","Central","Awutu Senya","Opeikuma CHPS","CHPS","Opeikuma","Government",5.61691,-0.56952,47.61691,47.61691
"1214","Central","Awutu Senya","Papaase CHPS","CHPS","Papaase","Government",5.61691,-0.56952,47.61691,47.61691
"1215","Central","Awutu Senya","Tawiakwa CHPS","CHPS","Tawiakwa","Government",5.61691,-0.56952,47.61691,47.61691
"1216","Central","Cape Coast Metropolitan","PPAG Youth Friendly","Clinic","Adiebikrom-Abura","Private",5.13586,-1.27695,47.13586,47.13586
"1217","Central","Cape Coast Metropolitan","Police Clinic","Clinic","Pedu Junction","Quasi-Government",5.12181,-1.27063,47.12181,47.12181
"1218","Central","Cape Coast Metropolitan","Central Regional Hospital","Regional Hospital","Abura","Government",5.1332,-1.26603,47.1332,47.1332
"1219","Central","Cape Coast Metropolitan","Baiden Ghartey Memorial Hospital","Hospital","Pedu","Private",5.12535,-1.27525,47.12535,47.12535
"1220","Central","Cape Coast Metropolitan","St. John's Clinic/Maternity Home","Clinic","Abura","Private",5.18089,-1.28102,47.18089,47.18089
"1221","Central","Cape Coast Metropolitan","Anaisiwa Memorial Clinic","Clinic","Aboom","CHAG",5.11036,-1.25054,47.11036,47.11036
"1222","Central","Cape Coast Metropolitan","Bishop Ackon Memorial Christian Eye Centre","Clinic","Adisadel","CHAG",5.1165,-1.27067,47.1165,47.1165
"1223","Central","Cape Coast Metropolitan","Abura Clinic","Clinic","Abura","Private",5.13131,-1.33529,47.13131,47.13131
"1224","Central","Cape Coast Metropolitan","Adisadel Urban Health Centre","Health Centre","Adisadel","Government",5.11936,-1.26784,47.11936,47.11936
"1225","Central","Cape Coast Metropolitan","U.C.C Hospital","Hospital","Cape Coast","Government",5.10537,-1.28298,47.10537,47.10537
"1226","Central","Cape Coast Metropolitan","Regional Health Directorate","Regional Health Directorate","Cape Coast","Government",5.10162,-1.2709,47.10162,47.10162
"1227","Central","Cape Coast Metropolitan","Cape Coast Metropolitan Hospital","Metropolitan Hospital","Bakano","Government",5.10247,-1.25902,47.10247,47.10247
"1228","Central","Cape Coast Metropolitan","Cape Coast Nurses & Midwife Training School","Training Institution","Ola","Government",5.10248,-1.25688,47.10248,47.10248
"1229","Central","Cape Coast Metropolitan","Efutu Rural Clinic","Clinic","Efutu","Government",5.21052,-1.32217,47.21052,47.21052
"1230","Central","Cape Coast Metropolitan","Ekon CHPS","CHPS","Ekon","Government",5.12117,-1.2709,47.12117,47.12117
"1231","Central","Cape Coast Metropolitan","Tantri Clinic","Clinic","Tantri","Private",5.1128,-1.24091,47.1128,47.1128
"1232","Central","Cape Coast Metropolitan","The Saint Maternity Home","Maternity Home","Borofoyedur","Private",5.11088,-1.23425,47.11088,47.11088
"1233","Central","Cape Coast Metropolitan","Ewim Urban Health Centre","Health Centre","Ewim","Government",5.11533,-1.24487,47.11533,47.11533
"1234","Central","Cape Coast Metropolitan","Cape Coast RCH","RCH","Aboom","Government",5.10833,-1.24717,47.10833,47.10833
"1235","Central","Cape Coast Metropolitan","Cape Coast Metropolitan Health Directorate","Metropolitan Health Directorate","Cape Coast","Government",5.10833,-1.24714,47.10833,47.10833
"1236","Central","Cape Coast Metropolitan","Aged Clinic","Clinic","Cape Coast","Government",5.0633,-1.15526,47.0633,47.0633
"1237","Central","Cape Coast Metropolitan","Micro Clinic","Clinic","Cape Coast","Government",5.06807,-1.14468,47.06807,47.06807
"1238","Central","Cape Coast Metropolitan","Brimsu CHPS","CHPS","Brimsu","Government",5.11075,-1.18226,47.11075,47.11075
"1239","Central","Cape Coast Metropolitan","Brofoyedu CHPS","CHPS","Brofoyedu","Government",5.06669,-1.14021,47.06669,47.06669
"1240","Central","Cape Coast Metropolitan","Nkanfoa CHPS","CHPS","Nkanfoa","Government",5.08409,-1.14648,47.08409,47.08409
"1241","Central","Efutu Municipal","Winneba RCH","RCH","Winneba","Government",5.33849,-0.62412,47.33849,47.33849
"1242","Central","Efutu Municipal","Otoo Memorial Hospital","Clinic","Winneba","Private",5.35441,-0.62205,47.35441,47.35441
"1243","Central","Efutu Municipal","Baptist Hospital","Hospital","Winneba","CHAG",5.35441,-0.62205,47.35441,47.35441
"1244","Central","Efutu Municipal","Klimovic Memorial Hospital","Hospital","Winneba","Private",5.36621,-0.63719,47.36621,47.36621
"1245","Central","Efutu Municipal","Winneba Government Hospital","District Hospital","Winneba","Government",5.34374,-0.6229,47.34374,47.34374
"1246","Central","Efutu Municipal","Bethel Maternity Home","Maternity Home","Winneba","Private",5.34224,-0.62985,47.34224,47.34224
"1247","Central","Efutu Municipal","Efutu District Health Directorate","District Health Directorate","Winneba","Government",5.33815,-0.62484,47.33815,47.33815
"1248","Central","Efutu Municipal","Winneba Community Health Nurses Training School","Training Institution","Winneba","Government",5.37109,-0.64254,47.37109,47.37109
"1249","Central","Efutu Municipal","Ansaful Health Centre","Health Centre","Ansaful","Government",5.37109,-0.64254,47.37109,47.37109
"1250","Central","Efutu Municipal","Winniba Health Centre","Health Centre","Winneba","Government",5.20189,-0.3727,47.20189,47.20189
"1251","Central","Efutu Municipal","Winniba Municipal Health Directorate","DHD","Winneba","Government",5.20174,-0.37295,47.20174,47.20174
"1252","Central","Efutu Municipal","University Clinic","Clinic","Winneba","Quasi-Government",5.22095,-0.37478,47.22095,47.22095
"1253","Central","Efutu Municipal","Gyangyanadze CHPS","CHPS","Gyangyanadze","Government",5.23474,-0.34361,47.23474,47.23474
"1254","Central","Gomoa East","Buduatta Health Centre","Health Centre","Buduatta","Government",5.49698,-0.57723,47.49698,47.49698
"1255","Central","Gomoa East","Nadom Maternity Home","Maternity Home","Nyanyano","Private",5.46673,-0.41123,47.46673,47.46673
"1256","Central","Gomoa East","Nyanyano Clinic","Clinic","Nyanyano","Government",5.47036,-0.41798,47.47036,47.47036
"1257","Central","Gomoa East","Obuasi Clinic","Clinic","Obuasi","Government",5.50399,-0.7547,47.50399,47.50399
"1258","Central","Gomoa East","Buduburam Clinic","Clinic","Buduburam Camp","CHAG",5.523917,-0.475167,47.523917,47.523917
"1259","Central","Gomoa East","Ojobi Community Clinic","Clinic","Ojobi","Government",5.48019,-0.53142,47.48019,47.48019
"1260","Central","Gomoa East","Andrew Browning Clinic","Clinic","Fetteh","CHAG",5.43145,-0.47701,47.43145,47.43145
"1261","Central","Gomoa East","Fetteh CHPS","CHPS","Fetteh","Government",5.42147,-0.46725,47.42147,47.42147
"1262","Central","Gomoa East","Okyerko Clinic","Clinic","Okyerko","Government",5.41768,-0.6032,47.41768,47.41768
"1263","Central","Gomoa East","Wansima Memorial CHPS","CHPS","Mankoadze","Government",5.31811,-0.68595,47.31811,47.31811
"1264","Central","Gomoa East","Potsin Clinic","Clinic","Potsin","Government",5.45544,-0.59253,47.45544,47.45544
"1265","Central","Gomoa East","St. Gregory Catholic Clinic","Clinic","Budumburam Camp","Private",5.52401,-0.47508,47.52401,47.52401
"1266","Central","Gomoa East","Margo Maternity Home","Maternity Home","","Private",5.52401,-0.47508,47.52401,47.52401
"1267","Central","Gomoa East","Abasa CHPS","CHPS","Abasa","Government",5.52401,-0.47508,47.52401,47.52401
"1268","Central","Gomoa East","Dasum CHPS","CHPS","Dasum","Government",5.52401,-0.47508,47.52401,47.52401
"1269","Central","Gomoa East","Ekwemkrom CHPS","CHPS","Ekwemkrom","Government",5.52401,-0.47508,47.52401,47.52401
"1270","Central","Gomoa West","Godfry Memorial Clinic","Maternity Home","Ankamu","Private",5.33737,-0.76385,47.33737,47.33737
"1271","Central","Gomoa West","Apam RCH","RCH","Apam","Government",5.28368,-0.73665,47.28368,47.28368
"1272","Central","Gomoa West","Apam District Health Directorate","District Health Directorate","Apam","Government",5.31479,-0.74645,47.31479,47.31479
"1273","Central","Gomoa West","Ngyiresi CHPS","CHPS","Ngyiresi","Government",5.35125,-0.84368,47.35125,47.35125
"1274","Central","Gomoa West","Oguaa Health Centre","Health Centre","Ogua","Government",5.42001,-0.81471,47.42001,47.42001
"1275","Central","Gomoa West","Noguchi Clinic","Clinic","Noguchi","Government",5.35998,-0.70778,47.35998,47.35998
"1276","Central","Gomoa West","Apam Catholic Hospital","Hospital","Apam","CHAG",5.28142,-0.73909,47.28142,47.28142
"1277","Central","Gomoa West","Mankoadze Clinic","Clinic","Mankoadze","Government",5.31811,-0.68595,47.31811,47.31811
"1278","Central","Gomoa West","Dago Health Centre","Health Centre","Dago","Government",5.31811,-0.68595,47.31811,47.31811
"1279","Central","Gomoa West","Osedze Health Centre","Health Centre","Osedze","Government",5.31811,-0.68595,47.31811,47.31811
"1280","Central","Gomoa West","Assin CPHS","CHPS","Assin","Government",5.31811,-0.68595,47.31811,47.31811
"1281","Central","Gomoa West","Brofo CHPS","CHPS","Brofo","Government",5.31811,-0.68595,47.31811,47.31811
"1282","Central","Gomoa West","Eshiem CHPS","CHPS","Eshiem","Government",5.31811,-0.68595,47.31811,47.31811
"1283","Central","Gomoa West","Fomena CHPS","CHPS","Fomena","Government",5.31811,-0.68595,47.31811,47.31811
"1284","Central","Gomoa West","Sampa CHPS","CHPS","Sampa","Government",5.31811,-0.68595,47.31811,47.31811
"1285","Central","Gomoa West","Tarkwa CHPS","CHPS","Tarkwa","Government",5.31811,-0.68595,47.31811,47.31811
"1286","Central","Komenda-Edina-Eguafo-Abirem Municipal","Abrem Agona Health Centre","Health Centre","Abrem Agona","Government",5.18951,-1.43017,47.18951,47.18951
"1287","Central","Komenda-Edina-Eguafo-Abirem Municipal","Atonkwa CHPS","CHPS","Atonkwa","Government",5.11335,-1.32509,47.11335,47.11335
"1288","Central","Komenda-Edina-Eguafo-Abirem Municipal","Ankaful Psychiatric Hospital","Psychiatric Hospital","Ankaful","Government",5.15531,-1.32331,47.15531,47.15531
"1289","Central","Komenda-Edina-Eguafo-Abirem Municipal","Ankaful Leprosy/General Hospital","Hospital","Ankaful","Government",5.1506,-1.31776,47.1506,47.1506
"1290","Central","Komenda-Edina-Eguafo-Abirem Municipal","Paa Wartemberg Memorial Maternity Home","Maternity Home","Chaple Square","Private",5.08477,-1.34962,47.08477,47.08477
"1291","Central","Komenda-Edina-Eguafo-Abirem Municipal","Komenda-Edina-Eguafo-Abirem District Health Directorate","District Health Directorate","Elmina","Government",5.09981,-1.34193,47.09981,47.09981
"1292","Central","Komenda-Edina-Eguafo-Abirem Municipal","Ankaful Nurses Training College","Training Institution","Ankaful","Government",5.10162,-1.2709,47.10162,47.10162
"1293","Central","Komenda-Edina-Eguafo-Abirem Municipal","Nyame Te Ase Maternity Home","Maternity Home","Low Cost","Private",5.05144,-1.49758,47.05144,47.05144
"1294","Central","Komenda-Edina-Eguafo-Abirem Municipal","Aburansa CHPS","CHPS","Aburansa","Government",5.0785,-1.54259,47.0785,47.0785
"1295","Central","Komenda-Edina-Eguafo-Abirem Municipal","Elmina Urban Health Centre","Health Centre","Elmina","Government",5.09873,-1.3483,47.09873,47.09873
"1296","Central","Komenda-Edina-Eguafo-Abirem Municipal","Kissi Health Centre","Health Centre","Kissi","Government",5.08749,-1.50592,47.08749,47.08749
"1297","Central","Komenda-Edina-Eguafo-Abirem Municipal","Ankaful RCH","RCH","Ankaful","Government",5.15115,-1.31842,47.15115,47.15115
"1298","Central","Komenda-Edina-Eguafo-Abirem Municipal","Benyadze CHPS","CHPS","Benyadze","Government",5.1171,-1.44572,47.1171,47.1171
"1299","Central","Komenda-Edina-Eguafo-Abirem Municipal","Antseamboa CHPS","CHPS","Antseamboa","Government",5.15486,-1.57947,47.15486,47.15486
"1300","Central","Komenda-Edina-Eguafo-Abirem Municipal","Komenda Health Centre","Health Centre","Komenda","Government",5.05282,-1.49313,47.05282,47.05282
"1301","Central","Komenda-Edina-Eguafo-Abirem Municipal","Good Sheperd Maternity Home","Maternity Home","","Private",5.05282,-1.49313,47.05282,47.05282
"1302","Central","Komenda-Edina-Eguafo-Abirem Municipal","Bando Han-Medical Centre","Clinic","","Private",5.05282,-1.49313,47.05282,47.05282
"1303","Central","Komenda-Edina-Eguafo-Abirem Municipal","Abeyee CHPS","CHPS","Abeyee","Government",5.05282,-1.49313,47.05282,47.05282
"1304","Central","Komenda-Edina-Eguafo-Abirem Municipal","Berase CHPS","CHPS","Berase","Government",5.05282,-1.49313,47.05282,47.05282
"1305","Central","Komenda-Edina-Eguafo-Abirem Municipal","S.A.P CHPS","CHPS","","Government",5.05282,-1.49313,47.05282,47.05282
"1306","Eastern","Kwahu North","Amankwah RCH","RCH","Amankwah","Government",7.05265,-0.08252,49.05265,49.05265
"1307","Eastern","Kwahu North","Samanhyia CHPS","CHPS","Samanhyia","Government",6.99057,-0.16728,48.99057,48.99057
"1308","Eastern","Kwahu North","Memchemfre CHPS","CHPS","Donkorkrom","Government",6.933,-0.02507,48.933,48.933
"1309","Eastern","Kwahu North","Donkorkrom Presby Hospital","District Hospital","Donkorkrom","CHAG",7.04888,-0.07725,49.04888,49.04888
"1310","Eastern","Kwahu North","Ekye Health Centre","Health Centre","Ekye Amanfram","Government",6.75602,-0.50408,48.75602,48.75602
"1311","Eastern","Kwahu North","Kwasi Fante Health Centre","Health Centre","Kwasi Fante","CHAG",7.03088,-0.48919,49.03088,49.03088
"1312","Eastern","Kwahu North","Maame Krobo CHPS","CHPS","Maame Krobo","Government",6.95264,-0.43709,48.95264,48.95264
"1313","Eastern","Kwahu North","Tease Health Centre","Health Centre","Tease","CHAG",6.93586,-0.25254,48.93586,48.93586
"1314","Eastern","Kwahu North","Fofori Community Clinic","Clinic","Forifori","Government",6.83016,-0.15398,48.83016,48.83016
"1315","Eastern","Akwapim North","Abiriw Clinic","Clinic","Abiriw","Government",5.979867,-0.089267,47.979867,47.979867
"1316","Eastern","Akwapim North","Kwamoso RCH","RCH","Kwamoso","Government",5.96086,-0.14825,47.96086,47.96086
"1317","Eastern","Akwapim North","The Voice Maternity Clinic","Clinic","Konko","Private",6.02668,-0.19738,48.02668,48.02668
"1318","Eastern","Akwapim North","Adawso Health Centre","Health Centre","Adawso","Government",5.94825,-0.21067,47.94825,47.94825
"1319","Eastern","Akwapim North","Nyarkoa Memorial Maternity Home","Maternity Home","Okorase","Private",6.0887,-0.26166,48.0887,48.0887
"1320","Eastern","Akwapim North","Semehyia Maternity Home","Maternity Home","Adwaso","Private",5.9492,-0.21217,47.9492,47.9492
"1321","Eastern","Akwapim North","Tadankro CHPS","CHPS","Tadankro","Government",5.91265,-0.19193,47.91265,47.91265
"1322","Eastern","Akwapim North","Adukrom Health Centre","Health Centre","Adukrom","Government",6.00807,-0.08046,48.00807,48.00807
"1323","Eastern","Akwapim North","Akropong Health Centre","Health Centre","Akropong","Government",5.98148,-0.0779,47.98148,47.98148
"1324","Eastern","Akwapim North","Aseseso RCH","RCH","Aseseso","Government",6.01045,-0.05167,48.01045,48.01045
"1325","Eastern","Akwapim North","Obosomase RCH","RCH","Obosonmase","Government",5.87404,-0.15763,47.87404,47.87404
"1326","Eastern","Akwapim North","Larteh Health Centre","Health Centre","Larteh","Government",5.93509,-0.07314,47.93509,47.93509
"1327","Eastern","Akwapim North","Private Maternity Home","Maternity Home","Mampong","Private",5.90735,-0.14371,47.90735,47.90735
"1328","Eastern","Akwapim North","School Of Death Mampong","Clinic","Mampong","Quasi-Government",5.90144,-0.14481,47.90144,47.90144
"1329","Eastern","Akwapim North","Reprocare RCH","RCH","Mampong","Government",5.91915,-0.13412,47.91915,47.91915
